iter	MultiClass
233	0.8571543023
234	0.856887951
235	0.8566643699
236	0.8564819643
237	0.8561608371
238	0.8558906443
239	0.8556488513
240	0.8553565347
241	0.855021388
242	0.8547906978
243	0.8546536393
244	0.8543433641
245	0.8540810307
246	0.853822683
247	0.8535667603
248	0.8533402582
249	0.8530260645
250	0.8527649867
251	0.8526247594
252	0.8524606681
253	0.8521780795
254	0.8519173122
255	0.8517363583
256	0.8514596679
257	0.8510723125
258	0.8507949986
259	0.850566263
260	0.8502293687
261	0.8499606275
262	0.8497712736
263	0.8495655347
264	0.8493417403
265	0.8491449309
266	0.8488904318
267	0.8484478715
268	0.8481785136
269	0.8478579526
270	0.8476071065
271	0.847461883
272	0.8470659287
273	0.8468643364
274	0.8466808734
275	0.8464513886
276	0.8462219197
277	0.8459240055
278	0.8456493106
279	0.8454293787
280	0.8451843396
281	0.8448832147
282	0.8445318882
283	0.8442983748
284	0.844093673
285	0.8438870522
286	0.8437157685
287	0.8434408814
288	0.8431134001
289	0.8428939046
290	0.8426847668
291	0.8424524113
292	0.8421443536
293	0.8418824477
294	0.8415955813
295	0.8413442875
296	0.8411278833
297	0.8408115716
298	0.8405858923
299	0.8403573293
300	0.8401476784
301	0.8399709023
302	0.8397040067
303	0.8394275694
304	0.8392884836
305	0.8390631411
306	0.8388033773
307	0.8385450555
308	0.8384060246
309	0.8382068393
310	0.8378888706
311	0.8377349002
312	0.8375020359
313	0.8373232309
314	0.8370967001
315	0.8368574437
316	0.8365389275
317	0.8363018172
318	0.8360648441
319	0.8357443182
320	0.8354844705
321	0.8351893092
322	0.8349771703
323	0.834689618
324	0.8344500627
325	0.8342164088
326	0.8339459768
327	0.8337614641
328	0.8335336259
329	0.8333798947
330	0.8330836987
331	0.8327688418
332	0.8325147737
333	0.8321859646
334	0.8319922298
335	0.8317395014
336	0.8316025081
337	0.8312697836
338	0.8309448066
339	0.8307099463
340	0.8305779271
341	0.8303287772
342	0.8301020459
343	0.829933998
344	0.829607297
345	0.8293194704
346	0.8291156427
347	0.8288135922
348	0.8286112136
349	0.8284176596
350	0.8281857036
351	0.8278831009
352	0.8277247526
353	0.8274799583
354	0.8273469546
355	0.8271102664
356	0.8268416945
357	0.8265876019
358	0.8264387326
359	0.8260945074
360	0.8259200499
361	0.8256731919
362	0.8254152721
363	0.8251815011
364	0.8249497144
365	0.8247782086
366	0.824601575
367	0.8243210609
368	0.824121532
369	0.8238039006
370	0.823522607
371	0.8233123999
372	0.822982796
373	0.8226947637
374	0.8224017116
375	0.8220882198
376	0.8217961952
377	0.821555868
378	0.8213879437
379	0.821159001
380	0.8208909057
381	0.8206675562
382	0.8203960209
383	0.8202600829
384	0.8199720965
385	0.819805308
386	0.8195352216
387	0.8193730151
388	0.8191771959
389	0.8189221946
390	0.8187779513
391	0.8185867323
392	0.8184303415
393	0.8182456289
394	0.8178743389
395	0.8177600832
396	0.8175663097
397	0.8173246274
398	0.8169801113
399	0.8167462938
